row_num,description,category,size,type
94,Exports,Export/Interop,L,feature
95,Display top N predictions,UI/UX,S,feature
96,Private vs. Public projects. Fix permission boundaries.,Permissions/Auth,M,feature
97,Which deployments which data are published to GBIF,Export/Interop,M,feature
98,Citation information,Data-Management,S,feature
99,Default pipelines by project/location,ML/AI,S,feature
100,Filtering based on model used (session view occurrence view),UI/UX,S,feature
101,Occurrence tracking,Data-Management,M,feature
102,Selection of device site etc. in Deployment,UI/UX,S,improvement
103,Add multilingual localization support,UI/UX,L,feature
104,Display Images for deployments,UI/UX,S,feature
105,Support for unknown species (clustering),ML/AI,L,feature
106,Quick flagging,UI/UX,S,feature
107,Documentation!,Documentation,L,documentation
108,Expose info about which model and when for each machine ID,Data-Management,S,feature
109,Data connector tool,Data-Management,L,feature
110,Developing new UI components (new scrolling timeline),UI/UX,M,feature
111,Stats metrics & charts for validation quality control and improving models,Analytics/Viz,L,feature
112,Additional ML backends,ML/AI,M,feature
113,Create logic diagrams for new & existing features,Documentation,M,documentation
114,Add panama trap IDs,Data-Management,XS,feature
115,Show Num Captures column under deployments.,UI/UX,XS,feature
116,Speed up deployments list?,Infrastructure,M,improvement
117,Add megadector-> butterflies example.,Documentation,S,documentation
118,Notifications,UI/UX,M,feature
119,Online/Offline functionality,Infrastructure,XL,feature
120,Top species chart to overview page,Analytics/Viz,S,feature
121,Taxa list of support (makes it possible to filter on species of concern),Taxonomy,M,feature
122,Import the full list of species of concern,Taxonomy,M,feature
123,Feature for masking predictions to a species list (as an alternative to a regional model),ML/AI,M,feature
124,Flight charts for taxa & taxa lists,Analytics/Viz,M,feature
125,Corrected species list for Panama (mainly for identification of processed data),Taxonomy,S,feature
126,New model for Panama (current models include P. interpunctella and v2 has a short species list),ML/AI,L,feature
127,Panama plus model? Needs review uses a different species list.,ML/AI,M,research
128,Class masking of one of the existing models,ML/AI,M,feature
129,Processing all data once model is ready & agreed on,Data-Management,L,feature
130,Help organizing & auditing the panama BCI projects,Data-Management,M,improvement
131,Deploy some of Kat's models to a server,ML/AI,M,feature
132,Help with processing of samples (since the feature is not stable enough yet),Infrastructure,M,improvement
133,Extend the list of species if needed for labellers?,Taxonomy,S,feature
134,Setting some projects to drafts,Permissions/Auth,XS,feature
135,Adding clear description to each project,Data-Management,XS,improvement
136,Make it clear who contacts are for each project (the initiator and the hands-on/technical contacts),Permissions/Auth,S,feature
137,Assigning someone from Antenna to be the main contact for each project,Community,XS,improvement
138,Enforcing the use of the antenna email and add relevant people as recipients,Community,XS,improvement
139,Continuing to make tickets in ami-admin repo and track ongoing projects,DevEx,XS,improvement
140,Regular call for all partners using Antenna,Community,S,improvement
141,Sending out a form to be filled out before each meeting,Community,S,improvement
142,Find project & partner manager for Antenna,Community,L,research
143,Complete documentation & improving self-service,Documentation,L,documentation
144,Training others to respond to partners,Community,M,documentation
145,Find intern and train on basic tasks,Community,M,research
146,Training sessions for our own staff,Community,M,documentation
147,Data Exports (Yves needed for writing grant),Export/Interop,M,feature
148,Michael onboarded Tessa to the data companion code and she has committed several enhancements,DevEx,XS,documentation
149,Help renaming files from new camera,Data-Management,XS,improvement
150,Data uploader,Data-Management,L,feature
151,Full support for current research projects before self-service for public,Onboarding,XL,feature
152,Improving the results,ML/AI,L,improvement
153,Antenna workflow/requirements,Documentation,M,documentation
154,Sustainability leadership and financial model,Community,XL,research
155,Retrain the model for Totumas data?,ML/AI,L,research
156,Focus on hardening (stability fixes speed) Processing fixing gaps in workflow,Infrastructure,L,improvement
157,Design stable & streamlined workflow: Get from Cameras to moths with few steps,Onboarding,L,improvement
158,Good defaults & presets - hiding noise lower quality results,UI/UX,M,improvement
159,Embarrassing things (IDing smudges with high confidence single subject images),ML/AI,M,bug
160,Processing v2 & backend cleanup,Infrastructure,L,improvement
161,Improving quality of results - and what gets an ID at all,ML/AI,L,improvement
162,Improving stability (implement processing v2),Infrastructure,L,improvement
163,Desktop data uploading tool,Data-Management,L,feature
164,Ready for seamless live demonstrations,Onboarding,M,improvement
165,One good case study.,Documentation,M,documentation
166,Need a way to upload a bunch of images without full config,Data-Management,M,feature
167,Self-service ready? (Out of BETA officially),Onboarding,XL,feature
168,Antenna Go - offline mobile companion app,Data-Management,XL,feature
169,Notification system (Species of interest),UI/UX,M,feature
170,All-in-one test page,Onboarding,S,feature
171,Data uploader (Technician),Data-Management,L,feature
172,Easy desktop application for uploading data from machines to Antenna,Data-Management,L,feature
173,Select project classifier etc. (More one-click options for processing the data),UI/UX,M,improvement
174,Labeling at scale - entomologists,UI/UX,L,feature
175,Data access for fine-tuning - ML research,Export/Interop,M,feature
176,Categorical labels for high confidence results,ML/AI,M,feature
177,How can we get to research grade automatically? For the ones we can,ML/AI,L,research
178,Calibration (What species can we be confident about),ML/AI,M,research
179,Identification view (Supports multiple users keeps track of history allows for bulk ID or ID to coarser labels),UI/UX,L,feature
180,Ability to share URLs (Deep links to single session captures or directions from a specific taxon group),UI/UX,S,feature
181,Roles (Not only a permissions feature but a way to organize and simplify the interface for different types of users),Permissions/Auth,L,feature
182,Data Exports: Darwin Core for biologists and bioinformatics people,Export/Interop,M,feature
183,Data Exports: COCO/YOLO formats for re-training purposes (ML researchers),Export/Interop,M,feature
184,Few-shot learning for adding species,Research,XL,research
185,Estimation of physical size. Biomass.,Research,L,research
186,LoRAs for regional models,Research,L,research
187,Geofencing,Research,M,research
188,Estimating confidence how to present low-confidence results to users,ML/AI,M,research
189,Labeling behavior poses and other attributes,Research,L,research
190,Explainable AI - What features did you use to ID this species? Teaching the user.,Research,XL,research
191,Image classifier from infrared or hyper-spectral images,Research,XL,research
192,Fast object detector edge deployments,Research,L,research
193,Add Taxa model permissions to Identifier role,Permissions/Auth,XS,feature
194,Add is_staff to each user,Permissions/Auth,XS,feature
195,Add Not Identifiable and Lepidoptera entry IDs,Taxonomy,XS,feature
196,Daily morning SD cards collection of the entocam,Data-Management,XS,documentation
197,Label each SD card with tape them and label them,Data-Management,XS,documentation
198,Assign it the night before who will be doing it (Demo),Data-Management,XS,documentation
199,Needs to be put in a boxe,Data-Management,XS,documentation
200,Make sure the SD card is identify to see from which camera it came from,Data-Management,XS,documentation
201,Sync the SD cards every day to hardware 1 & 2,Data-Management,XS,documentation
202,Wipe them,Data-Management,XS,documentation
203,Reinstall them,Data-Management,XS,documentation
204,Rename the files (Anna),Data-Management,XS,documentation
205,Sample the files (Anna),Data-Management,XS,documentation
206,10 minutes intervals (Sampling),Data-Management,XS,documentation
207,Sync to the cloud (Anna),Data-Management,XS,documentation
208,Exporting data & updating the offline guide,Documentation,S,documentation
209,Charge batteries,Data-Management,XS,documentation
210,Fresh SD cards,Data-Management,XS,documentation
211,Ask Chris for list of any all categories of interest,Taxonomy,XS,documentation
212,Default filter: lepidoptera,UI/UX,XS,feature
213,Show best detection image in taxa view & occurrence view,UI/UX,S,feature
214,Hide occurrences if missing detections,UI/UX,S,bug
215,Missing Not Identifiable class in OOD environment,Taxonomy,S,bug
216,Size filter,UI/UX,S,feature
217,Add column for best_identification to the occurrences view (optional next to Taxon Determination column),UI/UX,S,feature
218,Fix missing sessions on occurrences - can we ensure sessions are grouped before processing,Data-Management,M,bug
219,Project ID required when changing name/tags of cluster,Data-Management,S,bug
220,Increase capacity of the database in the OOD environment,Infrastructure,M,improvement
221,How can we highlight anomalies in the capture images (out of schedule short schedule strange dates mixed resolution images),Analytics/Viz,M,feature
222,Remove null that keeps returning to data sync view,UI/UX,XS,bug
223,Add cryptic species status to the taxonomy database: Euceron species should always be determined to genus level,Taxonomy,S,feature
224,The modal window for taxon should keep on the occurrences / other context instead of sending back to taxa list,UI/UX,S,bug
225,Filter/search by previous identifications,UI/UX,S,feature
226,Link to filter taxa by parent (from taxa detail view)?,UI/UX,S,feature
227,Add verification features to gallery view,UI/UX,M,feature
228,Add size fields to taxonomy database (fallback to parent size category). Avg.,Taxonomy,S,feature
229,Add is_cryptic field (to what rank),Taxonomy,S,feature
230,Script to fix date offsets,Data-Management,S,improvement
231,Size estimator with annotations (from normal photos verified in Bold iNat),ML/AI,L,research
232,Make taxa detail page,UI/UX,M,feature
233,Change 'Captures per hour' to 'Average captures per hour per night',Analytics/Viz,S,improvement
234,Currently 'Captures per hour' is total cumulative captures from all nights on a given night,Analytics/Viz,XS,documentation
235,Change 'Detections per hour' to 'Detections per hour per night on average',Analytics/Viz,S,improvement
236,Add same charts (Average captures/detections per hour per night) but filtered by one specific species,Analytics/Viz,M,feature
237,Add multiple lines to compare multiple species (compare flight times) on charts,Analytics/Viz,M,feature
238,Be able to select any higher taxon group for filtering charts,Analytics/Viz,S,feature
239,Filter charts by a given year - to view whole season (Seasonal flight over the year),Analytics/Viz,S,feature
240,X-axis for Seasonal flight charts should use dates,Analytics/Viz,S,improvement
241,Address caveat: dynamic charts only show what is processed (but make it look like everything is processed),Analytics/Viz,M,bug
242,Training new regional models for improving results for regional species,ML/AI,L,feature
243,Geofencing using species list for improving results,ML/AI,M,feature
244,LORA adapter that is trained on a small amount of data and appended at inference time for improving results,ML/AI,L,research
245,Expose more features for user to manage species list and view charts (MVP for March),UI/UX,M,feature
246,Features for 'Species watch list' / 'species of concern' (economic concern),Taxonomy,M,feature
247,Features for 'Species of conservation concern' / 'Species of risk',Taxonomy,M,feature
248,Features for 'Pest species',Taxonomy,M,feature
249,Features for 'Non-native' species,Taxonomy,M,feature
250,Features for 'Rare species',Taxonomy,M,feature
251,Features for 'New species',Taxonomy,M,feature
252,Ability to configure a species list,Taxonomy,M,feature
253,Features for grouping & filtering species lists,Taxonomy,M,feature
254,Alerts feature,UI/UX,M,feature
255,Default charts feature,Analytics/Viz,M,feature
256,Some basic analysis built in to compare these species of interest,Analytics/Viz,M,feature
257,Provisional lists of species (regional lists),Taxonomy,M,feature
258,New model on Newfoundland species list (Current Quebec model is overestimating total number of species),ML/AI,L,feature
259,New filter: Show occurrences where there is any disagreement (between models or humans),UI/UX,S,feature
260,Antenna features to 'Generate flight chart per species',Analytics/Viz,M,feature
261,Antenna features to 'Generate compound flight chart per taxa list',Analytics/Viz,M,feature
262,Michael to assist with data exports for new paper,Export/Interop,M,improvement
263,Michael to assist with analysis and charts for new paper,Analytics/Viz,M,improvement
264,Michael to assist with technical description of methods for new paper,Documentation,M,documentation
265,Metrics for scaling - how much human validation is necessary to trust the model,Research,L,research
266,Option to use model consensus instead of top confidence score (consensus between global & regional model or versions of panama models),ML/AI,M,feature
267,Summary metrics - species richness. The accuracy of the species richness is 90% even when the classification accuracy is 60%.,Analytics/Viz,M,research
268,How can we confidently scale these systems beyond what humans can do?,Research,XL,research
269,Model zoo for insects,ML/AI,L,feature
270,Is Antenna a model zoo? Or just an index of what registered & available,ML/AI,S,design
271,Experimenting with fine-grained classification,Research,L,research
272,Common challenges - two lists of classes: species that exist and species that you can identify visually from a top-down image.,Research,M,research
273,Working on the "secret sauce" methods to improve results for insects - external stats,ML/AI,L,research
274,Priors and adding statistical models (Logistic binning Shannon entropy),ML/AI,L,research
275,Filtering bad data (too small too blurry),Data-Management,M,improvement
276,Tracking of individuals (deduplication),Data-Management,L,feature
277,Class masking to regional species checklists,ML/AI,M,feature
278,Downgrading predictions to higher taxonomic ranks until confidence is satisfactory.,ML/AI,M,feature
279,Clustering,ML/AI,M,feature
280,Species dataset made for image classification,ML/AI,L,research
281,How can we make the data output more satisfactory?,UI/UX,M,design
282,Is this any more efficient than traditional monitoring,Research,M,research
283,Do we really need a species level classifier? For which species? For which purposes?,Research,M,research
284,Getting anxious for something to be working & finished soon,Community,XS,documentation
285,Sign up on the platform waitlist,Onboarding,S,feature
286,Sign up as new user on the platform (Currently disabled manually add new users),Onboarding,M,feature
287,Reset password when not logged in (Backend configuration is incomplete maybe disable),Permissions/Auth,S,bug
288,Create a project from scratch (Currently disabled for most users soon enabled for all),Onboarding,L,feature
289,Configure members for a project (Anna and Mohamed is currently working on this),Permissions/Auth,M,feature
290,Configure processing services for a project,ML/AI,M,feature
291,Configure pipelines for a project,Documentation,M,documentation
292,Configure a storage for project,Documentation,M,documentation
293,Configure a data source for a station,Documentation,M,documentation
294,Upload data to the storage (desktop app) (Currently happens outside Antenna using tools like Cyberduck),Infrastructure,XL,feature
295,See what captures has been processed and not (Missing data about this),UI/UX,M,feature
296,Setup a collection of captures,Documentation,S,documentation
297,"Run a ML job (Unstable, jobs stop, status not reflected correctly, crops not saved, not all captures processed)",Infrastructure,L,bug
298,Run an XL ML job (VISS project),Infrastructure,XL,feature
299,"See results that are accurate enough (Improve filtering, post-processing, pre-configurations)",ML/AI,XL,improvement
300,Post processing framework and UI,ML/AI,L,feature
301,Class masking,ML/AI,M,feature
302,Rank roll-ups,Taxonomy,L,feature
303,"See detections grouped as tracks (UI and data structures prepared, logic in progress)",Analytics/Viz,L,feature
304,Extend the list of taxa when needed (Users have to reach out when taxa are missing),Taxonomy,L,improvement
305,Show evalutation stats while validating,Analytics/Viz,M,feature
306,Configure overview stats for a project (Needs more information and user discussions),Analytics/Viz,L,feature
307,See charts for troubleshooting (not analysis) (Needs more information and user discussions),Analytics/Viz,M,feature
308,Export in DarwinCore format,Export/Interop,L,feature
309,Fix critical issues with processing service API (milestone #27),Infrastructure,L,bug
310,Implement Project Quick Start feature (MVP for auto-creating draft projects and processing data),Onboarding,L,feature
311,"Improve presented prediction results (Filtering, good defaults, post-processing)",ML/AI,L,improvement
312,Develop a Data Uploader Tool (starting with CLI version),Infrastructure,L,feature
313,"Implement fine-grained Job Permissions based on job types (e.g., ML, export, sync)",Permissions/Auth,M,feature
314,Create user interface for project managers to add new users and assign roles,Permissions/Auth,M,feature
315,Integrate Tracking and Feature Vectors to improve prediction results,ML/AI,XL,feature
316,"Integrate Out-of-Distribution (OOD) features for data curation (tagging, moving occurrences between clusters)",ML/AI,L,feature
317,Add new frontend views like "My projects" and show multiple suggestions per classification,UI/UX,M,feature
318,Integrate an Order-Level Classifier with the option to replace the current binary classifier,ML/AI,L,feature
319,Implement a Taxa List Filter and support Darwin Core Export Format,Export/Interop,M,feature
320,"New sprint schedule: 3 weeks development, 1 week for documentation and planning",DevEx,XS,improvement
321,Time for refactoring (switching to Next.js),Infrastructure,XL,improvement
322,Complete migration of UI components from raw Radix primitives to shadcn/ui,UI/UX,L,improvement
323,Complete migration from style modules to Tailwind CSS,UI/UX,M,improvement
324,Move UI kit back to Antenna repo (to reduce complexity),Infrastructure,S,improvement
325,Migrate to React 19,Infrastructure,M,improvement
326,Migrate to Next.js (to simplify routing and code splitting),Infrastructure,XL,improvement
327,Upgrade Node.js?,Infrastructure,S,improvement
328,Split up backend modules,Infrastructure,L,improvement
329,DB Table partitions / Database Scaling,Infrastructure,XL,improvement
330,Processing stability / Processing v2,Infrastructure,XL,improvement
331,Image resizing,Infrastructure,M,feature
332,"Post processing functions (small, blurry, tracking sequential detections) / Reducing noise",ML/AI,L,feature
333,Generalized pipeline - General insect detector & Global moth classifier,ML/AI,XL,feature
334,Order-level classifier (refinement & calibration),ML/AI,L,improvement
335,"Size estimation (exposing in UI, centimeter calibration, incorporating into models)",ML/AI,L,feature
336,Tracking for counting (biomass estimation),ML/AI,L,feature
337,Detector with segmentation (for biomass estimation),ML/AI,XL,feature
338,Automated Quality Filters (to auto-remove blurry/dark/tiny images),ML/AI,M,feature
339,"OOD Feature Refinement (for ""unexpected species"" flagging)",ML/AI,L,improvement
340,Data Uploader Tool (Desktop app to abstract S3 uploads / sync from SD cards),Infrastructure,L,feature
341,"Importing Taxa lists, Data processed externally, Captures (public HTTP urls)",Data-Management,M,feature
342,Darwincore export,Export/Interop,L,feature
343,Export format for ML retraining,Export/Interop,M,feature
344,Sign up as new user (currently requires admin support),Onboarding,M,feature
345,"Reset password (Unstable, backend configuration incomplete)",Permissions/Auth,S,bug
346,Role Management UI (for Project Managers to invite members and assign roles),Permissions/Auth,M,feature
347,Configure members for a project (Partially implemented),Permissions/Auth,S,improvement
348,Streamline form handling across app,UI/UX,M,improvement
349,More obvious interlinking between occurrence detail and session detail,UI/UX,S,improvement
350,Consistent saving behavior,UI/UX,M,bug
351,More quick buttons for processing & collections,UI/UX,S,feature
352,Hovering toolbar in the session detail per occurrence?,UI/UX,S,feature
353,Showing some evaluation & statistics within the UI / Summary metrics as you go,Analytics/Viz,M,feature
354,Default to order level & wider metrics,Analytics/Viz,S,improvement
355,Knowing what's been processed / verified (Progress bar),UI/UX,M,feature
356,New filters: Which nights were captured by all stations? Filter out extra nights,UI/UX,M,feature
357,Represent Antenna UI in Figma (for high fidelity prototyping),UI/UX,L,design
358,Browser-based regression / integration tests (Cypress/Playwright),DevEx,L,improvement
359,Better db snapshots for automated and manual testing,DevEx,M,improvement
360,"Multiple environments and auto deployment (Dev, Staging, Branch deploys, Demo, Production)",Infrastructure,L,improvement
361,Automated backups (object storage backups),Infrastructure,M,improvement
362,Link to documentation (and write documentation!) / Documentation Sprint,Documentation,L,documentation
363,Use LLM to help with the table of contents / outline,Documentation,XS,improvement
364,Documentation of how to re-train a model with data from Antenna,Documentation,M,documentation
365,"Documentation of how to configure processing services, pipelines, storage, and data source",Documentation,M,documentation
366,Formalize Strategic Direction: Hosted Platform vs. Enterprise Portals vs. Open Source Only,Community,M,research
367,Formally select Option A (Client Portals) as the Q1 Strategic Alignment goal (based on lean team),Community,S,research
368,"Transition public ""Sign-Up"" buttons to ""Contact Us""",Onboarding,XS,improvement
369,Create a user matrix and a feature matrix (for Jan 27th meeting),Community,S,research
370,Define Milestones for 2026 (What do we want by April/July?),Community,M,research
371,Keep track of email correspondence with current and new contacts,Community,XS,improvement
372,New release on GitHub,Community,S,improvement
373,Add to Wildlabs inventory,Community,XS,improvement
374,Mailing list & regular updates,Community,S,improvement
375,"Focus on portability, quick install, cloud & local",Infrastructure,L,improvement
376,Reworking collections - clarifying & solidifying dynamic filters vs. fixed datasets,Data-Management,L,improvement
377,"Processing convenience (buttons for process this night, process this collection)",UI/UX,S,feature
378,Project manager (role/tooling),Permissions/Auth,M,feature
379,Everything related to the infrastructure (accounted for),Infrastructure,XL,improvement
380,Planning for meetings (accounted for),Community,XS,improvement
381,Requirements doc - Mapping the pipeline - Documentation for internal use - Showing where the gaps are in the steps,Documentation,L,documentation
382,Updated diagrams for presentations in October,Documentation,M,documentation
383,Documentation - first for internal then for public,Documentation,L,documentation
384,Better detector / segmenter,ML/AI,XL,feature
385,Tracking,ML/AI,L,feature
386,Class masking,ML/AI,M,feature
387,"Taxon rank rollup (genus, family level predictions) - never show a low confidence result",Taxonomy,M,feature
388,Post-processing based on image quality (what are we unconfident about),ML/AI,M,feature
389,Improving image quality of cameras,Infrastructure,M,improvement
390,Processing speed & stability (switch to producer/consumer model),Infrastructure,XL,improvement
391,Ability to demo models & techniques more easily (without setting up a research project) - Focus on internal use,DevEx,M,feature
392,Data uploader desktop application,Infrastructure,L,feature
393,Visualizations / aggregation (flight charts) BUT need to only show results we are confident for,Analytics/Viz,M,feature
394,"More full stack dev, easier integration from ML experiments to platform",DevEx,L,improvement
395,Genus level prediction (? - evaluate the accuracy at genus level),ML/AI,M,research
396,"Identify ""Tricky"" species (cannot identify the species with visual information only)",ML/AI,M,feature
397,Cluster detections within the same family,ML/AI,M,feature
398,Remove species that should not be classified (get checklists from experts),Taxonomy,S,feature
399,"Taxonomy database with our own metadata (Cryptic status, Size or size category, Model performance/training info)",Taxonomy,L,feature
400,Continuous OOD detection (combined with clustering; how to remove the OOD species that have been verified),ML/AI,L,feature
401,Building a dataset of moth size information,Research,XL,research
402,"Segmentation detector (e.g., HQ Sam, GroundingSAM, Depth Anything, Flatbug, OWLv2)",ML/AI,XL,feature
403,Handle overlapping moths,ML/AI,M,feature
404,Multiple objects in one bounding box,ML/AI,M,feature
405,"Post processing filters: Blurriness, darkness, brightness (evaluating the image quality)",ML/AI,M,feature
406,"Inference page for easily testing all models (without project setup, etc)",DevEx,M,feature
407,Capturing data (sending direct to antenna),Infrastructure,L,feature
408,Demo Flatbug,ML/AI,S,research
409,Demo other segmentation algorithms,ML/AI,S,research
410,Discuss detector approaches,ML/AI,S,research
411,Transparency: Knowing what we don't know - which species good and bad at,ML/AI,M,feature
412,Transparency: This region is not supported,ML/AI,S,feature
413,Transparency: How many images and what images was the model trained on?,ML/AI,M,feature
414,Transparency: We don't know about this species,ML/AI,S,feature
415,Transparency: What are the stupid errors,ML/AI,S,feature
416,Don't show Not a Moth by default (need project setting for these special Taxon),UI/UX,S,improvement
417,Predict to order level only by default?,ML/AI,S,improvement
418,Documentation for reviewing,Documentation,M,documentation
419,Resizing images for the app (use prisma urls in API response),Infrastructure,M,feature
420,Mind map of what's to come after this,Documentation,S,documentation
421,Filter for confidence in Taxa view,UI/UX,S,feature
422,"Cluster names - "recognizable taxonomic unit" - RTU 1, 2, 3",Taxonomy,S,feature
423,Confidence at higher ranks (Single determination approach & New column to show predictions),ML/AI,M,feature
424,Merge PRs - project ID filter,DevEx,XS,improvement
425,Scripts for sampling & uploading data,Infrastructure,S,feature
426,Class masking & global model - then generate rank classifications as additional classifications,ML/AI,L,feature
427,Bug: Cluster cover images are not automatically set,UI/UX,S,bug
428,Bug: Sessions not automatically created after sync,Infrastructure,M,bug
429,Bug: Counts per deployment,Analytics/Viz,S,bug
430,Bug: Increase capacity of the database in the OOD environment,Infrastructure,M,bug
431,"Bug: Can't update name, parents or tags",Taxonomy,M,bug
432,Deleting occurrences,Data-Management,S,feature
433,Copying projects,Data-Management,M,feature
434,Show the Site & Device as columns in Station list view,UI/UX,XS,feature
435,Somehow display which species the model is better or worse at,ML/AI,M,feature
436,Update filter of taxa best confidence to allow None (filter out unobserved species with score of None),UI/UX,S,feature
437,Re-training panama model with fewer,ML/AI,M,improvement
438,Put cursor in taxon search field after clicking the magnifying glass,UI/UX,XS,bug
439,"Ask Chris for list of any, all categories of interest",Research,XS,research
440,Default filter: lepidoptera,UI/UX,XS,improvement
441,Show best detection image in taxa view & occurrence view,UI/UX,M,feature
442,Hide occurrences if missing detections,Data-Management,S,improvement
