Card Title,One-Liner,Horizon,Effort,Item Count,Status Summary,User Story 1,User Story 2,User Story 3
User Guide and Tutorials,"Step-by-step documentation for common workflows: project setup, reviewing results, exporting data.",next-6mo,XL,48,1 tracked in GitHub; 47 untracked,"As a field ecologist, I want a guide that walks me through setting up a new monitoring project from start to finish.","As a new user, I want tutorial videos or walkthroughs so I can learn the platform without live training.",
Self-Hosting Documentation,"Installation guides, configuration docs, and one-click deploy options for community self-hosting.",next-6mo,S,1,1 untracked,"As a university IT admin, I want clear installation docs so I can deploy Antenna for our ecology department.","As a community user, I want a one-click deploy option (Digital Ocean, etc.) so I can run my own instance.",
Developer and API Documentation,"Technical docs for building integrations, custom processing services, and contributing to Antenna.",next-6mo,M,7,4 partially implemented; 3 untracked,"As an ML researcher, I want API docs so I can build a custom processing service that integrates with Antenna.","As a developer, I want contributor guidelines so I can add features to the open-source project.",
Darwin Core and Data Export,"Export occurrence data in Darwin Core, CSV, and other formats for GBIF submission and ecological analysis.",next-6mo,L,18,2 tracked in GitHub; 1 partially implemented; 15 untracked,"As a field ecologist, I want to export my data in Darwin Core format so I can submit it to GBIF.","As a project manager, I want CSV exports with flexible column selection so I can use the data in R or Python.","As an ML researcher, I want to export training data with annotations for model development."
Gallery and Review Experience,"Improve the image gallery with better navigation, filtering, linking between views, and keyboard shortcuts.",next-6mo,XL,40,4 tracked in GitHub; 36 untracked,"As a taxonomist, I want to navigate between occurrence detail and session views with one click so I can review in context.","As a field ecologist, I want to filter the gallery by species, confidence, and date so I find what I need quickly.",
Phenology and Abundance Charts,"Visualize species occurrence over time — flight periods, seasonal patterns, abundance trends, co-occurrence.",next-6mo,XL,21,21 untracked,"As a field ecologist, I want phenology charts showing when species appear so I can compare across years.","As a conservation decision-maker, I want abundance trend graphs so I can assess population changes.",
Collections and Dynamic Datasets,"Rework image collections into dynamic, filter-based datasets for flexible grouping and batch operations.",next-6mo,XL,26,7 partially implemented; 19 untracked,"As a field ecologist, I want to create a dataset from filter criteria (date range, deployment, species) so I can batch-process specific subsets.","As an ML researcher, I want dynamic collections so I can create training sets that update as new data arrives.",
Permissions and Team Roles,"Fine-grained roles (viewer, reviewer, admin) and object-level permissions for multi-team collaboration.",next-6mo,L,13,13 untracked,"As a project manager, I want to grant reviewers access to verify identifications without being able to change project settings.","As an admin, I want to manage team membership and permissions per project so each team controls their own data.",
Deployment and Event Management,"Better tools for managing monitoring stations, sites, devices, and temporal event grouping.",next-6mo,L,13,2 tracked in GitHub; 10 partially implemented; 1 untracked,"As a field ecologist, I want to manage multiple camera stations with their locations and time periods from the UI.","As a project manager, I want to see which deployments have recent data and which need attention.",
Taxonomy Hierarchy and Display,"Improved taxonomy tree navigation, display names, common names, and parent-child relationship management.",next-6mo,XL,24,7 tracked in GitHub; 3 partially implemented; 14 untracked,"As a taxonomist, I want to browse the taxonomy tree and see common names alongside scientific names.","As a field ecologist, I want to navigate from a species to all its occurrences across my project.",
UI Polish and Consistency,"Fix layout issues, improve date pickers, make responsive design work, and standardize component patterns.",next-6mo,XL,77,5 partially implemented; 72 untracked,"As any user, I want the interface to be consistent and predictable so I can learn it once and navigate confidently.","As a field ecologist working on a tablet, I want the UI to work well on smaller screens.",
Infrastructure and DevOps,"Improve CI/CD, monitoring, logging, and deployment automation for reliability and developer productivity.",next-6mo,XL,47,26 partially implemented; 21 untracked,"As a developer, I want reliable CI/CD so I can deploy with confidence.","As an admin, I want monitoring dashboards so I can detect issues before users report them.",
Non-Time-Series Data Support,"Support lab microscopes, specimen drawers, and other non-camera-trap image sources.",later,S,1,1 untracked,"As an entomologist, I want to process specimen drawer photos so I can digitize museum collections.","As an ML researcher, I want to use Antenna for lab microscope images so one platform handles all insect imaging.",
Pollinator and General Detection,"Expand beyond moths to pollinators, general insects, and broader ecological monitoring use cases.",later,S,2,2 untracked,"As a field ecologist, I want to detect pollinators visiting flowers so I can study plant-pollinator interactions.","As a conservation decision-maker, I want general insect monitoring data, not just moths.",
Ecosystem Integrations,"Connect with iNaturalist, GBIF, and external ML platforms for data exchange and community science.",later,L,10,3 tracked in GitHub; 7 untracked,"As a community scientist, I want to sync observations with iNaturalist so both platforms benefit.","As a project manager, I want automatic GBIF submission so our data is publicly discoverable.",
Advanced ML Features,"Clustering support, multi-model ensembles, active learning loops, and advanced post-processing.",later,XL,40,3 tracked in GitHub; 10 partially implemented; 27 untracked,"As an ML researcher, I want to run multiple models and ensemble their results for better accuracy.","As a project manager, I want the system to actively learn from corrections to improve over time.",
Multi-Tenant and Cloud Scaling,Support multiple organizations on shared infrastructure with proper isolation and resource management.,later,M,5,5 untracked,"As an admin, I want to host multiple organizations on one deployment with proper data isolation.","As a cloud operator, I want auto-scaling so the platform handles load spikes during processing.",
Research and Experimental Features,"Exploratory work: new ecological metrics, experimental UI patterns, academic collaboration features.",later,L,18,1 tracked in GitHub; 2 partially implemented; 15 untracked,"As an ML researcher, I want experimental features behind feature flags so I can test ideas without affecting production users.","As a field ecologist, I want to pilot new analysis methods on my data before they become standard features.",
Community Building,"Forums, shared resources, community events, and collaboration tools for the broader Antenna ecosystem.",later,XL,49,49 untracked,"As a community member, I want a forum to share experiences and help others set up their monitoring programs.","As a project manager, I want to discover and connect with other teams using Antenna in my region.",
Completed Work (Reference),Capability inventory: features already built and shipped. Not on the board — for context only.,done,-,109,Already shipped,,,
